City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,san jose,37.3394,-121.895,16.9,30,20,7.2,US,2023-01-23 22:19:25
199,taoudenni,22.6783,-3.9836,18.41,20,0,3.81,ML,2023-01-23 22:23:49
200,vostok,46.4856,135.8833,-35.7,99,100,1.1,RU,2023-01-23 22:23:50
201,okha,53.5739,142.9478,-29.53,94,100,7.09,RU,2023-01-23 22:18:56
202,uvat,59.1433,68.8953,-16.65,99,86,2.05,RU,2023-01-23 22:23:53
203,agadir,30.4202,-9.5982,13.25,73,0,2.52,MA,2023-01-23 22:23:54
204,port-cartier,50.0334,-66.8654,-6.18,95,99,1.41,CA,2023-01-23 22:22:43
205,pontianak,-0.0333,109.3333,24.99,94,75,1.03,ID,2023-01-23 22:23:57
206,kudahuvadhoo,2.6708,72.8944,26.13,74,96,1.99,MV,2023-01-23 22:24:00
207,verkhoyansk,67.5447,133.385,-44.1,98,100,0.43,RU,2023-01-23 22:24:01
208,amursk,50.2261,136.8994,-38.31,100,97,0.73,RU,2023-01-23 22:24:03
209,kununurra,-15.7667,128.7333,25.99,94,92,1.54,AU,2023-01-23 22:24:05
210,itoman,26.1247,127.6694,18.01,86,75,17.49,JP,2023-01-23 22:24:06
211,cap-aux-meules,47.3821,-61.8597,0.03,100,100,14.4,CA,2023-01-23 22:24:08
212,jalu,29.0331,21.5482,12.41,47,0,4.39,LY,2023-01-23 22:24:11
213,kashiwazaki,37.3667,138.55,2.71,83,100,4.86,JP,2023-01-23 22:20:54
214,porto nacional,-10.7081,-48.4172,29.0,86,72,0.57,BR,2023-01-23 22:24:13
215,copparo,44.893,11.8249,7.23,88,100,6.53,IT,2023-01-23 22:24:15
216,fortuna,40.5982,-124.1573,13.85,63,3,0.89,US,2023-01-23 22:24:16
217,pontes e lacerda,-15.2261,-59.3353,26.53,81,37,1.57,BR,2023-01-23 22:24:18
218,diego de almagro,-26.3667,-70.05,25.37,33,0,5.07,CL,2023-01-23 22:24:22
219,belaya gora,68.5333,146.4167,-34.6,100,100,0.56,RU,2023-01-23 22:24:23
220,kendari,-3.945,122.4989,23.25,94,100,1.64,ID,2023-01-23 22:24:25
221,onega,63.9061,38.1404,-12.13,95,51,3.22,RU,2023-01-23 22:24:26
222,port-gentil,-0.7193,8.7815,27.98,83,75,2.06,GA,2023-01-23 22:19:44
223,laguna,38.421,-121.4238,16.46,35,0,8.23,US,2023-01-23 22:24:29
224,tazovskiy,67.4667,78.7,-37.07,100,17,0.83,RU,2023-01-23 22:24:31
225,lebu,-37.6167,-73.65,19.08,81,14,3.39,CL,2023-01-23 22:24:32
226,catemaco,18.4167,-95.1167,22.69,84,79,2.27,MX,2023-01-23 22:24:33
227,ayagoz,47.9714,80.4392,-15.34,79,100,2.93,KZ,2023-01-23 22:24:35
228,abu samrah,35.3029,37.1841,9.74,70,0,1.77,SY,2023-01-23 22:24:36
229,dillon,34.4166,-79.3712,12.99,48,23,6.97,US,2023-01-23 22:21:19
230,terra santa,-2.1042,-56.4869,24.68,89,98,0.97,BR,2023-01-23 22:24:39
231,toktogul,41.8708,72.9402,-10.86,63,60,1.33,KG,2023-01-23 22:24:41
232,turukhansk,65.8167,87.9833,-28.63,88,99,3.23,RU,2023-01-23 22:21:19
233,sungairaya,0.7,108.9,24.16,90,100,1.4,ID,2023-01-23 22:24:43
234,nehe,48.4833,124.8333,-36.4,92,22,1.42,CN,2023-01-23 22:24:45
235,richards bay,-28.783,32.0377,23.74,88,2,4.46,ZA,2023-01-23 22:24:46
236,saint-francois,46.4154,3.9054,1.69,83,100,4.63,FR,2023-01-23 22:21:54
237,salme,28.0369,85.0942,4.72,21,4,3.33,NP,2023-01-23 22:24:49
238,eenhana,-17.4667,16.3333,19.49,89,100,5.46,NA,2023-01-23 22:24:50
239,luanda,-8.8368,13.2343,26.08,80,100,2.42,AO,2023-01-23 22:24:52
240,lasa,46.6166,10.7002,0.2,94,92,1.67,IT,2023-01-23 22:23:08
241,oistins,13.0667,-59.5333,26.05,69,40,9.26,BB,2023-01-23 22:21:17
242,duldurga,50.6761,113.5931,-33.83,88,3,1.57,RU,2023-01-23 22:24:56
243,vargashi,55.3556,65.8467,-16.77,100,84,3.12,RU,2023-01-23 22:24:57
244,joshimath,30.5667,79.5667,5.1,50,100,1.28,IN,2023-01-23 22:24:58
245,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.57,71,0,3.0,RU,2023-01-23 22:25:00
246,beloha,-25.1667,45.05,24.05,80,100,8.08,MG,2023-01-23 22:25:01
247,aden,12.7794,45.0367,24.55,69,13,6.72,YE,2023-01-23 22:25:04
248,san andres,12.5847,-81.7006,29.01,70,20,6.17,CO,2023-01-23 22:25:07
249,ambilobe,-13.2,49.05,22.59,97,100,1.25,MG,2023-01-23 22:22:54
250,victoria,22.2855,114.1577,15.21,58,99,12.07,HK,2023-01-23 22:24:12
251,nayagarh,20.1333,85.1,16.57,66,45,1.18,IN,2023-01-23 22:25:13
252,najran,17.4924,44.1277,15.36,31,1,1.08,SA,2023-01-23 22:25:15
253,nurobod,40.9056,69.8023,-5.72,72,24,2.23,UZ,2023-01-23 22:25:17
254,tutoia,-2.7619,-42.2744,25.94,83,65,4.36,BR,2023-01-23 22:25:18
255,charters towers,-20.1,146.2667,24.57,75,11,3.32,AU,2023-01-23 22:25:20
256,margate,51.3813,1.3862,5.5,78,100,2.68,GB,2023-01-23 22:25:22
257,tabou,4.423,-7.3528,26.38,84,28,2.84,CI,2023-01-23 22:25:23
258,ambon,-3.6954,128.1814,25.13,15,40,3.6,ID,2023-01-23 22:25:25
259,teknaf,20.8624,92.3058,17.69,62,22,3.24,BD,2023-01-23 22:25:26
260,saint-paul,-21.0096,55.2707,24.06,91,100,1.28,RE,2023-01-23 22:25:28
261,saint george,37.1041,-113.5841,7.33,37,0,3.6,US,2023-01-23 22:23:46
262,rocha,-34.4833,-54.3333,22.64,51,0,4.73,UY,2023-01-23 22:25:31
263,samarai,-10.6167,150.6667,28.48,76,73,6.24,PG,2023-01-23 22:25:33
264,cartagena,10.3997,-75.5144,29.79,66,20,5.66,CO,2023-01-23 22:25:35
265,carahue,-38.7,-73.1667,22.13,60,1,4.49,CL,2023-01-23 22:25:36
266,launceston,-41.45,147.1667,18.78,76,40,1.54,AU,2023-01-23 22:25:38
267,kruisfontein,-34.0033,24.7314,21.96,80,69,8.13,ZA,2023-01-23 22:25:39
268,dali,25.7,100.1833,3.97,48,50,0.29,CN,2023-01-23 22:25:41
269,casa grande,32.8795,-111.7573,10.55,32,0,3.09,US,2023-01-23 22:23:47
270,sao joao da barra,-21.6403,-41.0511,26.05,88,100,4.01,BR,2023-01-23 22:22:56
271,kyra,49.5776,111.9753,-36.09,88,5,1.78,RU,2023-01-23 22:25:45
272,besikduzu,41.052,39.2284,9.94,91,9,1.14,TR,2023-01-23 22:25:46
273,shingu,33.7333,135.9833,5.66,86,100,3.1,JP,2023-01-23 22:25:47
274,maniitsoq,65.4167,-52.9,-4.42,92,100,7.06,GL,2023-01-23 22:25:49
275,zhigansk,66.7697,123.3711,-41.2,98,100,2.02,RU,2023-01-23 22:25:51
276,cherskiy,68.75,161.3,-27.08,94,100,2.35,RU,2023-01-23 22:25:52
277,zyryanka,65.75,150.85,-33.89,99,100,1.36,RU,2023-01-23 22:25:53
278,orlik,52.5178,99.825,-24.15,90,100,1.31,RU,2023-01-23 22:21:22
279,minggang,32.4586,114.0486,-3.2,36,99,6.59,CN,2023-01-23 22:25:56
280,aksu,41.1231,80.2644,-16.81,90,13,1.89,CN,2023-01-23 22:25:57
281,kavieng,-2.5744,150.7967,28.25,77,90,6.78,PG,2023-01-23 22:25:59
282,geraldton,-28.7667,114.6,21.23,88,100,4.63,AU,2023-01-23 22:26:00
283,mount isa,-20.7333,139.5,27.87,61,58,2.06,AU,2023-01-23 22:26:02
284,port hedland,-20.3167,118.5667,25.03,78,31,7.72,AU,2023-01-23 22:26:03
285,acapulco,16.8634,-99.8901,29.9,54,0,3.09,MX,2023-01-23 22:24:10
286,pimentel,-6.8367,-79.9342,25.16,61,20,10.8,PE,2023-01-23 22:26:06
287,west plains,36.7281,-91.8524,8.46,53,0,2.06,US,2023-01-23 22:26:08
288,sovetskiy,61.3614,63.5842,-14.44,95,32,2.17,RU,2023-01-23 22:26:10
289,brownwood,31.7093,-98.9912,12.0,32,100,7.2,US,2023-01-23 22:24:24
290,tessalit,20.1986,1.0114,21.11,12,1,3.41,ML,2023-01-23 22:26:12
291,taltal,-25.4,-70.4833,21.92,74,22,3.04,CL,2023-01-23 22:26:14
292,khash,28.2211,61.2158,-0.57,51,0,1.81,IR,2023-01-23 22:26:15
293,qaqortoq,60.7167,-46.0333,-4.66,64,100,2.72,GL,2023-01-23 22:26:18
294,kloulklubed,7.0419,134.2556,27.28,80,100,5.49,PW,2023-01-23 22:26:19
295,shelburne,44.0787,-80.2041,-0.75,90,75,5.47,CA,2023-01-23 22:26:21
296,namibe,-15.1961,12.1522,23.02,85,99,1.67,AO,2023-01-23 22:26:22
297,bathsheba,13.2167,-59.5167,26.34,69,40,9.26,BB,2023-01-23 22:26:24
298,manokwari,-0.8667,134.0833,25.5,81,100,2.96,ID,2023-01-23 22:26:27
299,lodwar,3.1191,35.5973,28.82,37,67,3.05,KE,2023-01-23 22:26:28
300,tsumeb,-19.2333,17.7167,21.64,71,99,4.41,NA,2023-01-23 22:26:29
301,kaisiadorys,54.8667,24.45,-1.69,94,95,1.03,LT,2023-01-23 22:26:31
302,muzhi,65.3667,64.6667,-7.93,88,98,3.19,RU,2023-01-23 22:26:33
303,torbay,47.6666,-52.7314,2.37,94,100,9.77,CA,2023-01-23 22:26:35
304,zhezkazgan,47.8043,67.7144,-17.06,90,97,3.27,KZ,2023-01-23 22:26:36
305,tamandare,-8.7597,-35.1047,26.29,79,15,4.19,BR,2023-01-23 22:26:38
306,fillmore,43.6666,-92.1002,-1.73,93,100,3.6,US,2023-01-23 22:26:39
307,pochutla,15.7432,-96.4661,30.9,50,5,3.12,MX,2023-01-23 22:26:41
308,zunyi,27.6867,106.9072,0.38,84,65,2.02,CN,2023-01-23 22:26:42
309,hofn,64.2539,-15.2082,0.75,49,100,3.61,IS,2023-01-23 22:22:08
310,cockburn town,21.4612,-71.1419,25.98,69,40,2.57,TC,2023-01-23 22:26:45
311,morondava,-20.2833,44.2833,25.32,89,100,7.15,MG,2023-01-23 22:26:46
312,lugus,5.7036,120.8203,26.31,81,100,1.7,PH,2023-01-23 22:26:48
313,prince rupert,54.3161,-130.3201,8.05,92,100,8.75,CA,2023-01-23 22:26:49
314,noumea,-22.2763,166.4572,28.89,99,97,1.62,NC,2023-01-23 22:26:51
315,garowe,8.4054,48.4845,19.64,81,81,6.01,SO,2023-01-23 22:26:54
316,honiara,-9.4333,159.95,26.67,83,94,1.9,SB,2023-01-23 22:26:55
317,grand gaube,-20.0064,57.6608,24.1,76,100,4.25,MU,2023-01-23 22:26:57
318,chongwe,-15.3292,28.682,17.72,99,100,2.02,ZM,2023-01-23 22:26:59
319,bell ville,-32.6259,-62.6887,33.15,23,0,3.28,AR,2023-01-23 22:24:07
320,menongue,-14.6585,17.691,15.63,97,100,1.85,AO,2023-01-23 22:27:02
321,paka,4.6374,103.4368,26.96,78,100,3.09,MY,2023-01-23 22:27:04
322,tahoua,14.8888,5.2692,24.54,14,69,3.46,NE,2023-01-23 22:27:05
323,udachnyy,66.4167,112.4,-29.2,74,100,1.56,RU,2023-01-23 22:27:07
324,sitka,57.0531,-135.33,6.94,87,75,4.12,US,2023-01-23 22:27:09
325,tadine,-21.55,167.8833,28.15,74,43,1.3,NC,2023-01-23 22:27:12
326,nipawin,53.3668,-104.0009,-9.98,85,100,3.6,CA,2023-01-23 22:27:14
